term	Df	SumOfSqs	F	parOmegaSq	Pr(>F)	R2	test_var	ref_level	test_level	n	outcome_subset	dataset
senter	1	0.5094944703245687	1.7877165481757773	0.00134701281488166	0.003	0.00304827238625899	first_round	No	Yes	584	positive	mags
Total_Reads_QC_ATLAS	1	0.3650979079317267	1.2810572238362334	4.810308675274428e-4	0.074	0.0021843571144555	first_round	No	Yes	584	positive	mags
Tarmkreft_Familie	1	0.2002396121507104	0.6840175638678518	-3.4246007313145635e-4	0.994	7.38215102267068e-4	Tarmkreft_Familie	No	Yes	923	all	mags
kjonn	1	0.7410899686802281	2.5315598124611824	0.00165657926568981	0.001	0.00273214575848563	Tarmkreft_Familie	No	Yes	923	all	mags
age_invitation	2	0.8901596390005011	1.5203905490596237	0.00112633675851664	0.003	0.00328171475104627	Tarmkreft_Familie	No	Yes	923	all	mags
senter	1	0.6859926834582666	2.343347747882807	0.00145329952463638	0.001	0.00252902087421371	Tarmkreft_Familie	No	Yes	923	all	mags
Total_Reads_QC_ATLAS	1	0.5497181337116217	1.8778345333209912	9.501629982977264e-4	0.001	0.002026623123853	Tarmkreft_Familie	No	Yes	923	all	mags
Tarmkreft_Familie	1	0.29952722417448285	1.0223963491831674	2.6982825140233288e-5	0.404	0.00122638271304418	Tarmkreft_Familie	No	Unknown	830	all	mags
kjonn	1	0.7099597512437583	2.4233532018304107	0.00171194758524528	0.001	0.0029068555230068	Tarmkreft_Familie	No	Unknown	830	all	mags
age_invitation	2	0.9532417771539484	1.6268820230566845	0.00150828074451139	0.001	0.00390294818801552	Tarmkreft_Familie	No	Unknown	830	all	mags
senter	1	0.6204141164685097	2.1177010851260794	0.00134481684563664	0.001	0.00254022034044669	Tarmkreft_Familie	No	Unknown	830	all	mags
Total_Reads_QC_ATLAS	1	0.4983300064905052	1.7009832102190623	8.438454081396821e-4	0.001	0.00204035979379003	Tarmkreft_Familie	No	Unknown	830	all	mags
Tarmkreft_Familie	1	0.24401633642023057	0.8104065043444283	-4.765925992775687e-4	0.872	0.00202734665130284	Tarmkreft_Familie	No	Yes	398	negative	mags
kjonn	1	0.5835900814315238	1.9381702258185003	0.00235166824294464	0.001	0.00484860732965935	Tarmkreft_Familie	No	Yes	398	negative	mags
age_invitation	2	0.7501999609609129	1.245750462531851	0.00123340378382656	0.05	0.00623284244396817	Tarmkreft_Familie	No	Yes	398	negative	mags
senter	1	0.563878067278381	1.8727043446492757	0.00218792696302228	0.001	0.00468483515575462	Tarmkreft_Familie	No	Yes	398	negative	mags
Total_Reads_QC_ATLAS	1	0.4784514589558029	1.5889926881088838	0.00147769431397661	0.007	0.00397509026385246	Tarmkreft_Familie	No	Yes	398	negative	mags
Tarmkreft_Familie	1	0.2697060972442955	0.8967118246312301	-2.7551101973144514e-4	0.703	0.00238230941350167	Tarmkreft_Familie	No	Unknown	375	negative	mags
kjonn	1	0.5814072898932352	1.933047851349933	0.00248195218984545	0.004	0.00513556079726502	Tarmkreft_Familie	No	Unknown	375	negative	mags
age_invitation	2	0.6946112146655565	1.1547126595878996	8.244538993729066e-4	0.098	0.00613548915775054	Tarmkreft_Familie	No	Unknown	375	negative	mags
senter	1	0.5249311592436925	1.745277479525555	0.0019834646612855	0.004	0.00463670808663205	Tarmkreft_Familie	No	Unknown	375	negative	mags
Total_Reads_QC_ATLAS	1	0.4337334709854872	1.4420657750971897	0.001177454034578	0.023	0.00383116044255961	Tarmkreft_Familie	No	Unknown	375	negative	mags
Tarmkreft_Familie	1	0.21351613167365713	0.7472945897282348	-4.8157544188835114e-4	0.946	0.0014208066590668	Tarmkreft_Familie	No	Yes	525	positive	mags
kjonn	1	0.3982279593219573	1.3937757168374665	7.494868326146537e-4	0.024	0.00264993999280584	Tarmkreft_Familie	No	Yes	525	positive	mags
age_invitation	2	0.8645776282102702	1.5129868148536645	0.00195042389756509	0.002	0.00575318427611291	Tarmkreft_Familie	No	Yes	525	positive	mags
senter	1	0.4349362188260102	1.5222525841855796	9.937782493842503e-4	0.007	0.00289420884095932	Tarmkreft_Familie	No	Yes	525	positive	mags
Total_Reads_QC_ATLAS	1	0.35799795572211224	1.2529729409569927	4.816211501680144e-4	0.1	0.00238223629959588	Tarmkreft_Familie	No	Yes	525	positive	mags
Tarmkreft_Familie	1	0.3508135827835872	1.2272106528605156	4.99114832205797e-4	0.092	0.00268835639036013	Tarmkreft_Familie	No	Unknown	455	positive	mags
kjonn	1	0.3668938616532955	1.2834624358538995	6.226064841831088e-4	0.062	0.00281158286327814	Tarmkreft_Familie	No	Unknown	455	positive	mags
age_invitation	2	0.9837205833264022	1.7206180697414	0.00315755025043875	0.001	0.00753845246107744	Tarmkreft_Familie	No	Unknown	455	positive	mags
senter	1	0.3909760127826303	1.3677062447030794	8.074930208280591e-4	0.043	0.00299612932344785	Tarmkreft_Familie	No	Unknown	455	positive	mags
Total_Reads_QC_ATLAS	1	0.31603020903904167	1.1055319924647808	2.3188466200961975e-4	0.256	0.00242180426788396	Tarmkreft_Familie	No	Unknown	455	positive	mags
Energi_kcal	1	0.27222192158106395	0.9236764745003588	-1.2116313190004516e-4	0.641	0.0014637905887664	Energi_kcal	low	mid	630	all	mags
kjonn	1	0.44523393905839725	1.5107237241175036	8.100159202700138e-4	0.014	0.00239411009226529	Energi_kcal	low	mid	630	all	mags
age_invitation	2	0.7282627583077215	1.2355345469546772	7.471700399930454e-4	0.036	0.00391601148639478	Energi_kcal	low	mid	630	all	mags
senter	1	0.43380070681863	1.4719296123647243	7.485339000816145e-4	0.025	0.00233263136323954	Energi_kcal	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.4357427125120523	1.4785190338262353	7.58977537505226e-4	0.017	0.00234307390820745	Energi_kcal	low	mid	630	all	mags
Energi_kcal	1	0.4732906270928368	1.6133772761960414	9.726677205063388e-4	0.01	0.00254696403463034	Energi_kcal	low	high	630	all	mags
kjonn	1	0.4615846310860832	1.573473278796927	9.094471986191144e-4	0.011	0.00248396944079723	Energi_kcal	low	high	630	all	mags
age_invitation	2	0.9893289608099564	1.6862375596340915	0.00217379625079303	0.001	0.0053239703838608	Energi_kcal	low	high	630	all	mags
senter	1	0.505775284344196	1.7241126358973011	0.00114806556684683	0.001	0.00272177682187	Energi_kcal	low	high	630	all	mags
Total_Reads_QC_ATLAS	1	0.4638264666939165	1.5811153625813918	9.215552899126276e-4	0.005	0.00249603364477224	Energi_kcal	low	high	630	all	mags
Energi_kcal	1	0.21617656450939648	0.7147557976526997	-0.00104212212277722	0.966	0.00260203377759524	Energi_kcal	low	mid	274	negative	mags
kjonn	1	0.44464217377888815	1.4701435019592295	0.00171291309124073	0.02	0.00535198603855022	Energi_kcal	low	mid	274	negative	mags
age_invitation	2	0.779212965684593	1.2881761399372416	0.00209906015244535	0.017	0.00937908538445362	Energi_kcal	low	mid	274	negative	mags
senter	1	0.39651799589867665	1.3110280343542486	0.0011338517324039	0.066	0.00477273390431682	Energi_kcal	low	mid	274	negative	mags
Total_Reads_QC_ATLAS	1	0.4618276559908878	1.5269647539499849	0.00191953731912013	0.011	0.00555884104756273	Energi_kcal	low	mid	274	negative	mags
Energi_kcal	1	0.3961261078845269	1.327701942493257	0.00115255017451495	0.057	0.00466287128743796	Energi_kcal	low	high	284	negative	mags
kjonn	1	0.37196255388217025	1.2467125884771828	8.679523018243835e-4	0.085	0.00437843777013773	Energi_kcal	low	high	284	negative	mags
age_invitation	2	0.6554791396541191	1.0984897355418377	6.931089536921614e-4	0.203	0.00771576222564632	Energi_kcal	low	high	284	negative	mags
senter	1	0.4110388580043036	1.377685235459435	0.00132811136410621	0.032	0.00483841193716084	Energi_kcal	low	high	284	negative	mags
Total_Reads_QC_ATLAS	1	0.4069812868859657	1.3640854122001405	0.00128034949164688	0.04	0.00479064954158061	Energi_kcal	low	high	284	negative	mags
Energi_kcal	1	0.27226323294759425	0.9460927248745976	-1.514478631096242e-4	0.606	0.00266248364147479	Energi_kcal	low	mid	356	positive	mags
kjonn	1	0.28725227095979733	0.9981784202609582	-5.1168232015260325e-6	0.453	0.0028090626271016	Energi_kcal	low	mid	356	positive	mags
age_invitation	2	0.6537538893077937	1.1358709581099202	7.627377763901991e-4	0.12	0.00639311087651545	Energi_kcal	low	mid	356	positive	mags
senter	1	0.3203868211721499	1.11331830366906	3.1820855285291444e-4	0.245	0.0031330880085419	Energi_kcal	low	mid	356	positive	mags
Total_Reads_QC_ATLAS	1	0.2886308345900801	1.0029688174338232	8.339305269517819e-6	0.448	0.00282254370963568	Energi_kcal	low	mid	356	positive	mags
Energi_kcal	1	0.3336484390032126	1.1526572044751382	4.4101121657709046e-4	0.175	0.0033216577752751	Energi_kcal	low	high	346	positive	mags
kjonn	1	0.3442058725781436	1.189130031703905	5.463199600940229e-4	0.144	0.00342676296151811	Energi_kcal	low	high	346	positive	mags
age_invitation	2	0.8798369973001599	1.51978899816168	0.00299556034019374	0.002	0.00875927192043191	Energi_kcal	low	high	346	positive	mags
senter	1	0.35823986893942106	1.2376133606286015	6.862725234335302e-4	0.1	0.00356647928469614	Energi_kcal	low	high	346	positive	mags
Total_Reads_QC_ATLAS	1	0.3498030907275904	1.208466773827601	6.021423328268544e-4	0.123	0.003482486414748	Energi_kcal	low	high	346	positive	mags
ROKJOT_nonproc	1	0.4298931272131199	1.444383624681946	7.048736355251562e-4	0.02	0.00228274749268304	ROKJOT_nonproc	low	mid	630	all	mags
kjonn	1	0.5412688485827459	1.8185912077998676	0.00129766500101486	0.001	0.00287415645600019	ROKJOT_nonproc	low	mid	630	all	mags
age_invitation	2	0.9004071736828223	1.5126240626881209	0.00162473392058718	0.002	0.00478119348276838	ROKJOT_nonproc	low	mid	630	all	mags
senter	1	0.5697402596749441	1.9142513552875755	0.0014490897191237	0.002	0.00302534064148646	ROKJOT_nonproc	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.4460409113038679	1.4986380275536004	7.90862973334146e-4	0.013	0.00236849278915824	ROKJOT_nonproc	low	mid	630	all	mags
ROKJOT_nonproc	1	0.5405256091521835	1.8348343361680384	0.00132338021099697	0.001	0.00290004560394604	ROKJOT_nonproc	low	high	630	all	mags
kjonn	1	0.5097235952161725	1.730275751272189	0.00115782574477235	0.003	0.00273478563550916	ROKJOT_nonproc	low	high	630	all	mags
age_invitation	2	0.7387217456860355	1.2538092561282452	8.050949700723131e-4	0.033	0.00396341397122031	ROKJOT_nonproc	low	high	630	all	mags
senter	1	0.5098012936750251	1.7305395015880969	0.00115824342700351	0.002	0.00273520250581135	ROKJOT_nonproc	low	high	630	all	mags
Total_Reads_QC_ATLAS	1	0.47199029442390383	1.60218865467892	9.549422211229936e-4	0.005	0.00253233770106877	ROKJOT_nonproc	low	high	630	all	mags
ROKJOT_nonproc	1	0.4063659746765466	1.337116951893078	0.00120254126730898	0.04	0.00475427079899529	ROKJOT_nonproc	low	mid	280	negative	mags
kjonn	1	0.4559141681105814	1.5001515893994763	0.00178307065634533	0.012	0.00533395892218007	ROKJOT_nonproc	low	mid	280	negative	mags
age_invitation	2	0.7088885504910678	1.1662724698087583	0.00118625163442633	0.098	0.00829362777733639	ROKJOT_nonproc	low	mid	280	negative	mags
senter	1	0.3907301994401422	1.2856685988629613	0.0010192051569779	0.071	0.00457134035142211	ROKJOT_nonproc	low	mid	280	negative	mags
Total_Reads_QC_ATLAS	1	0.5082796793591768	1.672456401190811	0.00239587599657305	0.006	0.00594660820021527	ROKJOT_nonproc	low	mid	280	negative	mags
ROKJOT_nonproc	1	0.4805753647940491	1.582401410675818	0.00212104420270094	0.008	0.0057479763740978	ROKJOT_nonproc	low	high	274	negative	mags
kjonn	1	0.4180569061301327	1.3765454629298168	0.0013723675334366	0.035	0.00500021723022407	ROKJOT_nonproc	low	high	274	negative	mags
age_invitation	2	0.7050901641017333	1.1608331929440203	0.00117258833443929	0.105	0.00843331119688657	ROKJOT_nonproc	low	high	274	negative	mags
senter	1	0.490548850935312	1.6152413348489043	0.00224037577760921	0.01	0.00586726539077875	ROKJOT_nonproc	low	high	274	negative	mags
Total_Reads_QC_ATLAS	1	0.38127326750890234	1.2554271412094165	9.313476268161556e-4	0.086	0.00456026233191423	ROKJOT_nonproc	low	high	274	negative	mags
ROKJOT_nonproc	1	0.32752289891323016	1.1242843370780942	3.549720560326539e-4	0.202	0.00320435236640961	ROKJOT_nonproc	low	mid	350	positive	mags
kjonn	1	0.3354792918950693	1.1515961618048582	4.3294436885789816e-4	0.179	0.00328219451657389	ROKJOT_nonproc	low	mid	350	positive	mags
age_invitation	2	0.8836375189777783	1.516626509990158	0.00294346194011854	0.004	0.00864515423007081	ROKJOT_nonproc	low	mid	350	positive	mags
senter	1	0.468084222624384	1.6067876831701813	0.00173067865337082	0.004	0.00457954784664634	ROKJOT_nonproc	low	mid	350	positive	mags
Total_Reads_QC_ATLAS	1	0.3073542706755461	1.0550517035638602	1.5726584517477402e-4	0.351	0.0030070306162813	ROKJOT_nonproc	low	mid	350	positive	mags
ROKJOT_nonproc	1	0.3997656810204688	1.3939846151816166	0.00110547492996275	0.024	0.00391344177375205	ROKJOT_nonproc	low	high	356	positive	mags
kjonn	1	0.3333589142376212	1.1624239394304048	4.560389544575504e-4	0.186	0.00326336342154227	ROKJOT_nonproc	low	high	356	positive	mags
age_invitation	2	0.6152689706870689	1.0727227474192418	4.0838791195658096e-4	0.268	0.00602307653281752	ROKJOT_nonproc	low	high	356	positive	mags
senter	1	0.3276244140312059	1.142427713033248	3.9991784732823607e-4	0.194	0.00320722645500205	ROKJOT_nonproc	low	high	356	positive	mags
Total_Reads_QC_ATLAS	1	0.3794137923433283	1.323017493558262	9.065299677534904e-4	0.054	0.00371421023611589	ROKJOT_nonproc	low	high	356	positive	mags
GRSAK_modified	1	0.34016648577579645	1.1632814671721343	2.591097767422686e-4	0.164	0.00184077974813577	GRSAK_modified	low	mid	630	all	mags
kjonn	1	0.5601739696538459	1.9156502022955315	0.00145130367585895	0.001	0.00303133007480124	GRSAK_modified	low	mid	630	all	mags
age_invitation	2	0.9075660379157852	1.5518206470788587	0.00174874810085798	0.002	0.0049112104000519	GRSAK_modified	low	mid	630	all	mags
senter	1	0.40097511404164266	1.3712312601815535	5.889089504281811e-4	0.04	0.00216984006449351	GRSAK_modified	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.3805805248082095	1.3014870358740538	4.7832194921808014e-4	0.066	0.00205947661482318	GRSAK_modified	low	mid	630	all	mags
GRSAK_modified	1	0.5144650990561104	1.7669975978322277	0.00121597610647545	0.003	0.00279106103317924	GRSAK_modified	low	high	630	all	mags
kjonn	1	0.5629112194500863	1.9333921278353403	0.00147938298952201	0.002	0.00305388951092908	GRSAK_modified	low	high	630	all	mags
age_invitation	2	0.8399022569497276	1.4423770175731303	0.00140240199099338	0.006	0.00455661319952048	GRSAK_modified	low	high	630	all	mags
senter	1	0.486763008089838	1.6718511471164434	0.00106529432999812	0.001	0.00264077245816141	GRSAK_modified	low	high	630	all	mags
Total_Reads_QC_ATLAS	1	0.44803049833234354	1.5388192819324429	8.54537842009567e-4	0.007	0.00243064197720222	GRSAK_modified	low	high	630	all	mags
GRSAK_modified	1	0.2930466230455835	0.9795797757363308	-7.372465609270851e-5	0.49	0.0035251448123064	GRSAK_modified	low	mid	277	negative	mags
kjonn	1	0.48231652299682537	1.6122605560879115	0.00220545214703949	0.005	0.00580192861894009	GRSAK_modified	low	mid	277	negative	mags
age_invitation	2	0.731067298222257	1.2218853310746534	0.00159949766069787	0.054	0.00879422552968364	GRSAK_modified	low	mid	277	negative	mags
senter	1	0.3828439496285796	1.2797492304179865	0.00100890610004669	0.065	0.0046053435079037	GRSAK_modified	low	mid	277	negative	mags
Total_Reads_QC_ATLAS	1	0.4448765472171061	1.4871083100162477	0.00175542681237658	0.011	0.00535155203714879	GRSAK_modified	low	mid	277	negative	mags
GRSAK_modified	1	0.3928281542745822	1.3058728266000483	0.0010912109101234	0.058	0.00465212160019872	GRSAK_modified	low	high	280	negative	mags
kjonn	1	0.3999667595461034	1.3296035865836808	0.00117577160016879	0.058	0.00473666151776207	GRSAK_modified	low	high	280	negative	mags
age_invitation	2	0.6023426517207611	1.001179386743429	8.424120058097669e-6	0.462	0.00713332593476089	GRSAK_modified	low	high	280	negative	mags
senter	1	0.4252068715877044	1.413508917952645	0.00147463979017371	0.029	0.00503557102601003	GRSAK_modified	low	high	280	negative	mags
Total_Reads_QC_ATLAS	1	0.43535706869191415	1.4472510681493365	0.00159477786445	0.018	0.00515577613524404	GRSAK_modified	low	high	280	negative	mags
GRSAK_modified	1	0.3911516911018822	1.3674481316268754	0.00103984714373012	0.043	0.00386979175912022	GRSAK_modified	low	mid	353	positive	mags
kjonn	1	0.3233466822664326	1.1304049722689655	3.692827647599652e-4	0.202	0.00319897460458016	GRSAK_modified	low	mid	353	positive	mags
age_invitation	2	0.8188227401274588	1.4312831205799996	0.00243757414162919	0.004	0.00810088148410981	GRSAK_modified	low	mid	353	positive	mags
senter	1	0.30787646874834707	1.0763218248547703	2.1616239928043136e-4	0.316	0.00304592271666559	GRSAK_modified	low	mid	353	positive	mags
Total_Reads_QC_ATLAS	1	0.2667677494639946	0.9326076529420646	-1.9094961926614028e-4	0.622	0.00263922069611077	GRSAK_modified	low	mid	353	positive	mags
GRSAK_modified	1	0.40147703654413647	1.4183988906271412	0.00119399806617383	0.024	0.00403782267530854	GRSAK_modified	low	high	350	positive	mags
kjonn	1	0.4258055661575497	1.5043504053421335	0.00143892766169343	0.016	0.00428250488521908	GRSAK_modified	low	high	350	positive	mags
age_invitation	2	0.8319329812512422	1.4695894288753015	0.00267618697008261	0.003	0.00836709836494971	GRSAK_modified	low	high	350	positive	mags
senter	1	0.3390264036447235	1.1977638346698318	5.647204382584158e-4	0.121	0.00340973050899382	GRSAK_modified	low	high	350	positive	mags
Total_Reads_QC_ATLAS	1	0.3164430350549168	1.117977889176822	3.369660989364151e-4	0.234	0.00318260011428506	GRSAK_modified	low	high	350	positive	mags
FRUKTB_modified	1	0.3858435672577514	1.3372582886673965	5.350441913953097e-4	0.044	0.00211437860234003	FRUKTB_modified	low	mid	630	all	mags
kjonn	1	0.5639287070485182	1.9544665292148111	0.00151273440453665	0.001	0.00309026479280953	FRUKTB_modified	low	mid	630	all	mags
age_invitation	2	0.7951885138823513	1.377983879321654	0.0011985106717731	0.007	0.00435754207470368	FRUKTB_modified	low	mid	630	all	mags
senter	1	0.4860551401951909	1.684571987541292	0.00108544273626978	0.004	0.00266352655634548	FRUKTB_modified	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.4415157560825378	1.5302071992409636	8.408910361267177e-4	0.013	0.00241945582737493	FRUKTB_modified	low	mid	630	all	mags
FRUKTB_modified	1	0.7513571147004541	2.5599912201143193	0.00247006023465888	0.001	0.00403460215807726	FRUKTB_modified	low	high	630	all	mags
kjonn	1	0.6793978879327938	2.314814878362545	0.00208266121335339	0.001	0.0036481988806875	FRUKTB_modified	low	high	630	all	mags
age_invitation	2	0.944649101939234	1.6092836280770593	0.00193049970226812	0.003	0.00507253239603546	FRUKTB_modified	low	high	630	all	mags
senter	1	0.5742047789560445	1.9564055013456427	0.0015158028241043	0.001	0.00308333786295207	FRUKTB_modified	low	high	630	all	mags
Total_Reads_QC_ATLAS	1	0.3318758439937426	1.1307529138533852	2.07501242002167e-4	0.205	0.00178209132540747	FRUKTB_modified	low	high	630	all	mags
FRUKTB_modified	1	0.4305432316684801	1.4619498395783153	0.00162394246344311	0.017	0.00512863856990576	FRUKTB_modified	low	mid	284	negative	mags
kjonn	1	0.44359222340644067	1.5062589123374932	0.00177942978925283	0.011	0.00528407838965705	FRUKTB_modified	low	mid	284	negative	mags
age_invitation	2	0.6843983540030081	1.161969333445233	0.00113932955631283	0.105	0.00815256526485727	FRUKTB_modified	low	mid	284	negative	mags
senter	1	0.3611231184142838	1.2262273476878205	7.959411409668447e-4	0.114	0.00430170495633349	FRUKTB_modified	low	mid	284	negative	mags
Total_Reads_QC_ATLAS	1	0.39853382094680967	1.3532588895703597	0.0012423240407016	0.041	0.00474734190478127	FRUKTB_modified	low	mid	284	negative	mags
FRUKTB_modified	1	0.5013972702026877	1.6450199668824572	0.00247470666028613	0.006	0.00630833457213692	FRUKTB_modified	low	high	260	negative	mags
kjonn	1	0.45385279434050574	1.489032655510312	0.00187736370520076	0.019	0.00571015329230209	FRUKTB_modified	low	high	260	negative	mags
age_invitation	2	0.7056225257919948	1.157528384169931	0.0012102902238968	0.113	0.00887779658739026	FRUKTB_modified	low	high	260	negative	mags
senter	1	0.42244773363255206	1.3859966898281386	0.0014824018754278	0.031	0.00531503021928664	FRUKTB_modified	low	high	260	negative	mags
Total_Reads_QC_ATLAS	1	0.31615501176541727	1.037263937982409	1.433022999015089e-4	0.351	0.00397770731792756	FRUKTB_modified	low	high	260	negative	mags
FRUKTB_modified	1	0.29870479614686474	1.0568911422094232	1.6439823527757537e-4	0.329	0.00304604878922092	FRUKTB_modified	low	mid	346	positive	mags
kjonn	1	0.3776252313176798	1.3361310805943996	9.705342597252148e-4	0.044	0.00385084167871525	FRUKTB_modified	low	mid	346	positive	mags
age_invitation	2	0.8051856459769624	1.4244725696483536	0.00244759325693138	0.006	0.00821089849799499	FRUKTB_modified	low	mid	346	positive	mags
senter	1	0.42280998703212447	1.4960058756881256	0.00143149088958352	0.019	0.00431161422810396	FRUKTB_modified	low	mid	346	positive	mags
Total_Reads_QC_ATLAS	1	0.32755729160652436	1.1589783777520315	4.59264059817463e-4	0.186	0.00334027275212537	FRUKTB_modified	low	mid	346	positive	mags
FRUKTB_modified	1	0.4987205530140102	1.7485922927201252	0.00201913724902044	0.002	0.00470168135349686	FRUKTB_modified	low	high	370	positive	mags
kjonn	1	0.4131413405426798	1.4485381833796134	0.00121079755255392	0.023	0.00389488447077024	FRUKTB_modified	low	high	370	positive	mags
age_invitation	2	0.8608095149419199	1.5090664243040592	0.00274415927003643	0.001	0.00811527020664297	FRUKTB_modified	low	high	370	positive	mags
senter	1	0.36068462157581394	1.2646167188790909	7.14669203943944e-4	0.078	0.00340034945323065	FRUKTB_modified	low	high	370	positive	mags
Total_Reads_QC_ATLAS	1	0.3066561248596287	1.07518435565639	2.031596789914319e-4	0.299	0.00289099652194927	FRUKTB_modified	low	high	370	positive	mags
PROKJOT_red	1	0.3826156895333383	1.292356915441682	4.6384334544755367e-4	0.064	0.00204240845225922	PROKJOT_red	low	mid	630	all	mags
kjonn	1	0.5462568694510139	1.845085975704689	0.0013396093502062	0.001	0.00291592759468951	PROKJOT_red	low	mid	630	all	mags
age_invitation	2	0.8690417550909331	1.4676765129118994	0.00148248631391164	0.005	0.00463895829292505	PROKJOT_red	low	mid	630	all	mags
senter	1	0.5712733671556691	1.9295839319912544	0.00147335606962354	0.001	0.00304946604529573	PROKJOT_red	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.4742661677242097	1.6019237537435107	9.545225459517756e-4	0.01	0.00253164011847485	PROKJOT_red	low	mid	630	all	mags
PROKJOT_red	1	0.4653539775670197	1.5853931474480778	9.28332869440883e-4	0.009	0.00250641696378557	PROKJOT_red	low	high	630	all	mags
kjonn	1	0.37686251700350226	1.2839156444114408	4.504567503061874e-4	0.086	0.0020297980702152	PROKJOT_red	low	high	630	all	mags
age_invitation	2	0.8714016970095031	1.4843692605104342	0.00153531936192524	0.004	0.00469340781629314	PROKJOT_red	low	high	630	all	mags
senter	1	0.5514455347750982	1.8786945296870745	0.00139281059466135	0.002	0.00297010987246812	PROKJOT_red	low	high	630	all	mags
Total_Reads_QC_ATLAS	1	0.3853377624087386	1.3127895697158989	4.962449991367381e-4	0.061	0.0020754461142418	PROKJOT_red	low	high	630	all	mags
PROKJOT_red	1	0.35118907086982176	1.158294069409842	5.732004897526495e-4	0.191	0.00418327449198354	PROKJOT_red	low	mid	276	negative	mags
kjonn	1	0.42424034936058774	1.3992322695340305	0.00144440440827532	0.036	0.00505344265855067	PROKJOT_red	low	mid	276	negative	mags
age_invitation	2	0.704035410857017	1.1610270772812363	0.00116550289678408	0.091	0.00838628995030152	PROKJOT_red	low	mid	276	negative	mags
senter	1	0.4485225961995382	1.4793201334184052	0.00173365636600633	0.015	0.00534268657937611	PROKJOT_red	low	mid	276	negative	mags
Total_Reads_QC_ATLAS	1	0.3933359347339547	1.297303128937623	0.00107602617025502	0.057	0.00468531716684026	PROKJOT_red	low	mid	276	negative	mags
PROKJOT_red	1	0.35364091906778583	1.1841929973147198	6.527403089388233e-4	0.137	0.00418094484931667	PROKJOT_red	low	high	282	negative	mags
kjonn	1	0.3696333818610782	1.2377449519345496	8.423570418444136e-4	0.11	0.00437001687503066	PROKJOT_red	low	high	282	negative	mags
age_invitation	2	0.7384074016287911	1.2363061328977094	0.0016731259784956	0.044	0.00872987388075823	PROKJOT_red	low	high	282	negative	mags
senter	1	0.4701345243111064	1.574280524303199	0.00203231703620601	0.007	0.00555819876016015	PROKJOT_red	low	high	282	negative	mags
Total_Reads_QC_ATLAS	1	0.4222539859024153	1.4139489697967411	0.00146575256394652	0.022	0.00499212769867206	PROKJOT_red	low	high	282	negative	mags
PROKJOT_red	1	0.30342616748012574	1.046637509731142	1.317270234768439e-4	0.337	0.00295290205998424	PROKJOT_red	low	mid	354	positive	mags
kjonn	1	0.3596253384599919	1.2404907981663738	6.788913306451941e-4	0.086	0.00349982472368866	PROKJOT_red	low	mid	354	positive	mags
age_invitation	2	0.7650791277845883	1.31953107357523	0.00180200721060246	0.008	0.00744564567798536	PROKJOT_red	low	mid	354	positive	mags
senter	1	0.34613874275200374	1.193970166594662	5.476382517280812e-4	0.138	0.00336857501447925	PROKJOT_red	low	mid	354	positive	mags
Total_Reads_QC_ATLAS	1	0.39786265384326214	1.3723865040770105	0.00105083386363888	0.034	0.00387194505958857	PROKJOT_red	low	mid	354	positive	mags
PROKJOT_red	1	0.43721742224244053	1.5146255634477097	0.00147662544323845	0.01	0.00434549698581712	PROKJOT_red	low	high	348	positive	mags
kjonn	1	0.2619270720616669	0.90737792896923	-2.66226234068771e-4	0.66	0.00260328899134475	PROKJOT_red	low	high	348	positive	mags
age_invitation	2	0.733336011947614	1.2702255374406637	0.00155061219785136	0.021	0.00728861492564779	PROKJOT_red	low	high	348	positive	mags
senter	1	0.37819099348257623	1.310143917999599	8.904245926085177e-4	0.034	0.00375883425187577	PROKJOT_red	low	high	348	positive	mags
Total_Reads_QC_ATLAS	1	0.28598874186931766	0.9907332994002304	-2.6629159092569233e-5	0.478	0.00284243754376656	PROKJOT_red	low	high	348	positive	mags
FISK_modified	1	0.2879429546646861	0.9724571704207052	-4.37206885250285e-5	0.518	0.0015387744422106	FISK_modified	low	mid	630	all	mags
kjonn	1	0.594306159849765	2.0071242487739087	0.00159605844382963	0.001	0.00317598716971596	FISK_modified	low	mid	630	all	mags
age_invitation	2	0.7431694233044084	1.2549368248502342	8.086687790455518e-4	0.035	0.00397151621974888	FISK_modified	low	mid	630	all	mags
senter	1	0.40534558308263513	1.3689559420757496	5.853015739399018e-4	0.047	0.00216617706183109	FISK_modified	low	mid	630	all	mags
Total_Reads_QC_ATLAS	1	0.5774097783905745	1.950060837296148	0.00150576233566786	0.001	0.00308569247927799	FISK_modified	low	mid	630	all	mags
FISK_modified	1	0.3701732035120529	1.271611505007981	4.309435805928296e-4	0.072	0.00200856219668903	FISK_modified	low	high	630	all	mags
kjonn	1	0.4775560002674979	1.6404907174918515	0.0010156194010999	0.004	0.0025912219464802	FISK_modified	low	high	630	all	mags
age_invitation	2	0.9634466740942288	1.6548062685472122	0.0020744378211372	0.002	0.0052276678856049	FISK_modified	low	high	630	all	mags
senter	1	0.6427659284910305	2.2080165229186255	0.00191381682630255	0.001	0.0034876520856669	FISK_modified	low	high	630	all	mags
